timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,dist_crop,filter_horizon,eph,epv,evh,evv,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid,track_mode
3764643651,14977977,-22.353443799995777,-48.61605419999082,-17.7725,-50.137096,-6.5018945,0.0014408983,0.0025268272,0.0,0.42570606,-0.35128316,-0.3067191,-0.30889812,-0.0085652955,-0.0013813828,0.08076739,2.438915,-1.2127951,2.1504204,-1.5992266,496.6547,4.8682294,0.3067191,2.6130295,66,0.26015845,0.14173996,0.14416142,0.048931465,1,1,1,1,1,0,1,1,1,1,1,1
3764748768,14977977,-22.353443799995777,-48.61605419999082,-17.719368,-50.182793,-6.536356,0.0014408983,0.0025268272,0.0,0.45685434,-0.2958641,-0.32629183,-0.329476,-0.0085652955,-0.0013813828,0.08076739,1.0643625,2.7783718,2.0833356,-1.5558738,496.6547,4.853782,0.32629183,2.5985823,68,0.27168483,0.14152667,0.14886448,0.04889712,1,1,1,1,1,0,1,1,1,1,1,1
3764848435,14977977,-22.353443799995777,-48.61605419999082,-17.665012,-50.222336,-6.571421,0.0014408983,0.0025268272,0.0,0.48737353,-0.25507128,-0.3555316,-0.35902783,-0.0085652955,-0.0013813828,0.08076739,2.775482,-1.7499751,2.7647908,-1.5136483,496.6547,4.8905697,0.3555316,2.6353698,70,0.26107517,0.14167084,0.14446072,0.048887268,1,1,1,1,1,0,1,1,1,1,1,1
3764956393,14977977,-22.353443799995777,-48.61605419999082,-17.603432,-50.258076,-6.6104984,0.0014408983,0.0025268272,0.0,0.52501196,-0.20117848,-0.3698598,-0.3727291,-0.0085652955,-0.0013813828,0.08076739,0.00037349446,0.12601736,-1.1773678,-1.4678441,496.6547,4.909853,0.3698598,2.7142534,72,0.27274388,0.14148158,0.14925475,0.04887543,1,1,1,1,1,0,1,1,1,1,1,1
3765056555,14977977,-22.353443799995777,-48.61605419999082,-17.54117,-50.287937,-6.646163,0.0014408983,0.0025268272,0.0,0.5703682,-0.16288996,-0.3609847,-0.36230737,-0.0085652955,-0.0013813828,0.08076739,2.6183932,-1.6307807,3.011136,-1.4252547,496.6547,4.950592,0.3609847,2.8466923,73,0.2620647,0.14162904,0.14481969,0.048868407,1,1,1,1,1,0,1,1,1,1,1,1
3765160445,14977977,-22.353443799995777,-48.61605419999082,-17.473043,-50.312263,-6.683896,0.0014408983,0.0025268272,0.0,0.6075879,-0.10225112,-0.32861,-0.3312326,-0.0085652955,-0.0013813828,0.08076739,0.99230474,1.3860121,2.448264,-1.380854,496.6547,5.07773,0.32861,2.97383,75,0.2736962,0.14142306,0.14954498,0.04884358,1,1,1,1,1,0,1,1,1,1,1,1
3765260482,14977977,-22.353443799995777,-48.61605419999082,-17.40145,-50.330387,-6.7151847,0.0014408983,0.0025268272,0.0,0.6553023,-0.055277187,-0.28674534,-0.28991568,-0.0085652955,-0.0013813828,0.08076739,-0.3377051,2.1407695,-1.4827963,-1.3378586,496.6547,5.168991,0.28674534,3.0650914,77,0.2620963,0.14145063,0.1446415,0.048830763,1,1,1,1,1,0,1,1,1,1,1,1
3765365252,14977977,-22.353443799995777,-48.61605419999082,-17.321398,-50.34271,-6.7407227,0.0014408983,0.0025268272,0.0,0.7234182,-0.016505698,-0.22178514,-0.22401592,-0.0085652955,-0.0013813828,0.08076739,2.4660466,-0.7944267,0.46645042,-1.2930846,496.6547,5.235613,0.22178514,3.1317132,79,0.27371,0.14194877,0.14919,0.048866834,1,1,1,1,1,0,1,1,1,1,1,1
3765469251,14977977,-22.353443799995777,-48.61605419999082,-17.233915,-50.350433,-6.7585177,0.0014408983,0.0025268272,0.0,0.7699365,0.040628135,-0.1585632,-0.1590637,-0.0085652955,-0.0013813828,0.08076739,-1.359172,-0.36252087,0.6642135,-1.248962,496.6547,5.2762356,0.1585632,3.2126358,81,0.26329955,0.14174588,0.14478858,0.04884972,1,1,1,1,1,0,1,1,1,1,1,1
3765569287,14977977,-22.353443799995777,-48.61605419999082,-17.14522,-50.350742,-6.7680655,0.0014408983,0.0025268272,0.0,0.8438042,0.09493727,-0.080883265,-0.07928152,-0.0085652955,-0.0013813828,0.08076739,-0.5388013,3.3540058,0.8513111,-1.206444,496.6547,5.279051,0.080883265,3.215451,83,0.2749599,0.14188118,0.14929868,0.048856765,1,1,1,1,1,0,1,1,1,1,1,1
