timestamp,windspeed_north,windspeed_east,variance_north,variance_east
3810570049,0.0,0.0,0.0,0.0
3810770122,0.0,0.0,0.0,0.0
3810970969,0.0,0.0,0.0,0.0
3811174799,0.0,0.0,0.0,0.0
3811375739,0.0,0.0,0.0,0.0
3811575792,0.0,0.0,0.0,0.0
3811776503,0.0,0.0,0.0,0.0
3811980499,0.0,0.0,0.0,0.0
3812184524,0.0,0.0,0.0,0.0
3812385249,0.0,0.0,0.0,0.0
3812589263,0.0,0.0,0.0,0.0
3812790094,0.0,0.0,0.0,0.0
3812990014,0.0,0.0,0.0,0.0
3813194837,0.0,0.0,0.0,0.0
3813398818,0.0,0.0,0.0,0.0
3813598813,0.0,0.0,0.0,0.0
3813799778,0.0,0.0,0.0,0.0
3814003601,0.0,0.0,0.0,0.0
3814204482,0.0,0.0,0.0,0.0
3814404421,0.0,0.0,0.0,0.0
3814608451,0.0,0.0,0.0,0.0
3814813231,0.0,0.0,0.0,0.0
3815013373,0.0,0.0,0.0,0.0
3815218056,0.0,0.0,0.0,0.0
3815422051,0.0,0.0,0.0,0.0
3815622849,0.0,0.0,0.0,0.0
3815822889,0.0,0.0,0.0,0.0
3816026825,0.0,0.0,0.0,0.0
3816227720,0.0,0.0,0.0,0.0
3816428389,0.0,0.0,0.0,0.0
3816632476,0.0,0.0,0.0,0.0
3816832486,0.0,0.0,0.0,0.0
3817033236,0.0,0.0,0.0,0.0
3817237277,0.0,0.0,0.0,0.0
3817442380,0.0,0.0,0.0,0.0
3817642377,0.0,0.0,0.0,0.0
3817850130,0.0,0.0,0.0,0.0
3818050930,0.0,0.0,0.0,0.0
3818250931,0.0,0.0,0.0,0.0
3818455682,0.0,0.0,0.0,0.0
3818655628,0.0,0.0,0.0,0.0
3818856431,0.0,0.0,0.0,0.0
3819060470,0.0,0.0,0.0,0.0
3819264419,0.0,0.0,0.0,0.0
3819465254,0.0,0.0,0.0,0.0
3819673393,0.0,0.0,0.0,0.0
3819874138,0.0,0.0,0.0,0.0
3820074058,0.0,0.0,0.0,0.0
3820282956,0.0,0.0,0.0,0.0
3820483291,0.0,0.0,0.0,0.0
3820682922,0.0,0.0,0.0,0.0
3820891649,0.0,0.0,0.0,0.0
3821092476,0.0,0.0,0.0,0.0
3821293095,0.0,0.0,0.0,0.0
3821500759,0.0,0.0,0.0,0.0
3821701297,0.0,0.0,0.0,0.0
3821901229,0.0,0.0,0.0,0.0
3822109492,0.0,0.0,0.0,0.0
3822310143,0.0,0.0,0.0,0.0
3822509964,0.0,0.0,0.0,0.0
3822714798,0.0,0.0,0.0,0.0
3822914835,0.0,0.0,0.0,0.0
3823115579,0.0,0.0,0.0,0.0
3823315644,0.0,0.0,0.0,0.0
3823520106,0.0,0.0,0.0,0.0
3823720511,0.0,0.0,0.0,0.0
3823920500,0.0,0.0,0.0,0.0
3824125242,0.0,0.0,0.0,0.0
3824333319,0.0,0.0,0.0,0.0
3824534034,0.0,0.0,0.0,0.0
3824734344,0.0,0.0,0.0,0.0
