timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,system_source,priority,warning
3419877779,45.190826,44.84665,37.058636,35.42435,4812.3066,0.5722446,1.0383855,12,1,1,0,0
3420371689,45.05471,44.869602,39.42471,36.428818,4817.414,0.57465476,1.038161,12,1,1,0,0
3420876448,44.83692,44.86842,43.535767,38.627254,4823.056,0.5796091,1.0376997,12,1,1,0,0
3421381203,45.000263,44.81313,38.62616,39.942635,4828.835,0.5732485,1.0382919,12,1,1,0,0
3421886004,44.40135,44.691566,43.358307,47.16757,4836.168,0.578137,1.0378368,12,1,1,0,0
3422378750,44.755253,44.667576,49.510098,47.95627,4842.833,0.5894917,1.0367808,12,1,1,0,0
3422883593,44.673584,44.649563,49.80586,47.9144,4849.542,0.59132594,1.0366105,12,1,1,0,0
3423388294,44.483017,44.635696,46.375053,47.114986,4856.0845,0.58733517,1.0369812,12,1,1,0,0
3423881277,44.918594,44.6741,42.02739,44.93956,4862.0254,0.5909254,1.0366477,12,1,1,0,0
3424385859,43.747986,44.641586,42.648487,44.2322,4868.157,0.579372,1.0377218,12,1,1,0,0
3424890910,44.782475,44.674686,41.58375,43.769516,4874.286,0.5878554,1.036933,12,1,1,0,0
3425384577,45.081932,44.720345,42.086544,42.234726,4879.9053,0.59596485,1.0361799,12,1,1,0,0
3425889147,44.510242,44.72949,42.05697,41.77189,4885.71,0.59759134,1.036029,12,1,1,0,0
3426394043,45.05471,44.73479,40.696472,41.869167,4891.612,0.59902626,1.035896,12,1,1,0,0
3426886687,44.3469,44.745766,39.57259,40.574615,4897.039,0.59589416,1.0361865,12,1,1,0,0
3427391496,45.000263,44.771126,36.94033,38.953407,4902.356,0.60153615,1.0356632,12,1,1,0,0
3427896868,44.918594,44.836838,44.423042,37.67516,4907.456,0.61347973,1.0345573,12,1,1,0,0
3428389183,44.918594,44.76975,45.813107,42.00018,4913.621,0.6174247,1.0341926,12,1,1,0,0
3428894117,44.374126,44.69978,44.304737,44.26892,4920.1255,0.62338394,1.033642,12,1,1,0,0
3429398751,44.755253,44.71847,38.241673,43.265232,4926.15,0.63745046,1.0323448,12,1,1,0,0
3429904458,44.428574,44.7408,36.28966,40.46715,4931.558,0.6377558,1.0323167,12,1,1,0,0
3430396566,45.163605,44.794422,39.247257,38.827984,4936.679,0.63979363,1.032129,12,1,1,0,0
3430901194,44.700806,44.789402,38.093792,38.6421,4942.069,0.63244575,1.032806,12,1,1,0,0
3431406816,44.8097,44.784264,36.99948,38.70109,4947.548,0.6278526,1.0332296,12,1,1,0,0
3431899729,44.64636,44.79206,40.430294,38.74169,4952.797,0.62131613,1.033833,12,1,1,0,0
3432404437,44.510242,44.810852,40.63732,38.30051,4958.1104,0.62288827,1.0336878,12,1,1,0,0
3432909207,44.537464,44.72037,51.166355,43.89674,4964.76,0.62296414,1.0336808,12,1,1,0,0
3433401969,44.755253,44.648846,53.68031,48.880108,4971.9644,0.6368499,1.0324001,12,1,1,0,0
3433906776,44.83692,44.64315,44.21601,47.578777,4978.569,0.64802,1.0313723,12,1,1,0,0
3434411598,44.918594,44.671387,41.524597,44.57645,4984.5337,0.6504559,1.0311484,12,1,1,0,0
3434916416,44.40135,44.71589,39.335983,41.339146,4990.0034,0.64762694,1.0314084,12,1,1,0,0
3435409190,44.210785,44.760143,42.145695,40.55076,4995.438,0.64891964,1.0312896,12,1,1,0,0
3435913864,44.89137,44.724533,42.35273,41.969273,5001.4604,0.6358734,1.0324901,12,1,1,0,0
3436419613,44.755253,44.691822,42.293575,43.48046,5007.718,0.6186631,1.0340781,12,1,1,0,0
3436924507,44.755253,44.699165,41.76121,43.568855,5013.854,0.6095334,1.0349225,12,1,1,0,0
3437429262,44.64636,44.749313,40.696472,41.197994,5019.3735,0.60538507,1.0353066,12,1,1,0,0
3437922135,45.109158,44.750996,41.051384,41.037983,5025.0,0.59714264,1.0360706,12,1,1,0,0
3438426716,44.64636,44.705143,46.877846,42.82069,5031.154,0.58857656,1.0368658,12,1,1,0,0
3438931661,44.945816,44.68182,48.090454,43.991245,5037.416,0.5887232,1.0368522,12,1,1,0,0
