timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
1538593113,1538593113,167686007,0,0,1,205,206,63,45,94,51,68
1539598041,1539598041,167686007,0,0,1,205,206,63,45,94,51,68
1540643226,1540643226,167686007,0,0,1,205,206,63,45,94,51,68
1541603070,1541603070,167686007,0,0,1,205,206,63,45,94,51,68
1542596116,1542596116,167686007,0,0,1,205,206,63,45,94,51,68
1543647140,1543647140,167686007,0,0,1,205,206,63,45,94,51,68
1544665127,1544665127,167686007,0,0,1,205,206,63,45,94,51,68
1545582411,1545582411,167686007,0,0,1,205,206,63,45,94,51,68
1546729998,1546729998,167686007,0,0,1,205,206,63,45,94,51,68
1547660080,1547660080,167686007,0,0,1,205,206,63,45,94,51,68
1548740594,1548740594,167686007,0,0,1,205,206,63,45,94,51,68
1549651083,1549651083,167686007,0,0,1,205,206,63,45,94,51,68
1550657122,1550657122,167686007,0,0,1,205,206,63,45,94,51,68
1551718928,1551718928,167686007,0,0,1,205,206,63,45,94,51,68
1552659028,1552659028,167686007,0,0,1,205,206,63,45,94,51,68
1553651640,1553651640,167686007,0,0,1,205,206,63,45,94,51,68
1554710020,1554710020,167686007,0,0,1,205,206,63,45,94,51,68
1555625377,1555625377,167686007,0,0,1,205,206,63,45,94,51,68
1556646975,1556646975,167686007,0,0,1,205,206,63,45,94,51,68
1557755571,1557755571,167686007,0,0,1,205,206,63,45,94,51,68
1558622450,1558622450,167686007,0,0,1,205,206,63,45,94,51,68
1559640019,1559640019,167686007,0,0,1,205,206,63,45,94,51,68
1560699106,1560699106,167686007,0,0,1,205,206,63,45,94,51,68
1561602013,1561602013,167686007,0,0,1,205,206,63,45,94,51,68
1562635098,1562635098,167686007,0,0,1,205,206,63,45,94,51,68
1563692560,1563692560,167686007,0,0,1,205,206,63,45,94,51,68
1564614693,1564614693,167686007,0,0,1,205,206,63,45,94,51,68
1565632452,1565632452,167686007,0,0,1,205,206,63,45,94,51,68
1566679148,1566679148,167686007,0,0,1,205,206,63,45,94,51,68
1567626023,1567626023,167686007,0,0,1,205,206,63,45,94,51,68
1568626576,1568626576,167686007,0,0,1,205,206,63,45,94,51,68
1569674010,1569674010,167686007,0,0,1,205,206,63,45,94,51,68
1570600014,1570600014,167686007,0,0,1,205,206,63,45,94,51,68
1571622418,1571622418,167686007,0,0,1,205,206,63,45,94,51,68
1572728015,1572728015,167686007,0,0,1,205,206,63,45,94,51,68
1573615076,1573615076,167686007,0,0,1,205,206,63,45,94,51,68
1574617100,1574617100,167686007,0,0,1,205,206,63,45,94,51,68
1575675227,1575675227,167686007,0,0,1,205,206,63,45,94,51,68
1576601148,1576601148,167686007,0,0,1,205,206,63,45,94,51,68
1577611339,1577611339,167686007,0,0,1,205,206,63,45,94,51,68
1578696156,1578696156,167686007,0,0,1,205,206,63,45,94,51,68
1579615069,1579615069,167686007,0,0,1,205,206,63,45,94,51,68
1580606020,1580606020,167686007,0,0,1,205,206,63,45,94,51,68
1581658022,1581658022,167686007,0,0,1,205,206,63,45,94,51,68
1582673169,1582673169,167686007,0,0,1,205,206,63,45,94,51,68
1583600016,1583600016,167686007,0,0,1,205,206,63,45,94,51,68
1584681906,1584681906,167686007,0,0,1,205,206,63,45,94,51,68
1585636020,1585636020,167686007,0,0,1,205,206,63,45,94,51,68
1586734310,1586734310,167686007,0,0,1,205,206,63,45,94,51,68
1587668175,1587668175,167686007,0,0,1,205,206,63,45,94,51,68
1588669688,1588669688,167686007,0,0,1,205,206,63,45,94,51,68
1589590700,1589590700,167686007,0,0,1,205,206,63,45,94,51,68
1590666134,1590666134,167686007,0,0,1,205,206,63,45,94,51,68
1591664090,1591664090,167686007,0,0,1,205,206,63,45,94,51,68
1592588315,1592588315,167686007,0,0,1,205,206,63,45,94,51,68
1593653156,1593653156,167686007,0,0,1,205,206,63,45,94,51,68
1594607205,1594607205,167686007,0,0,1,205,206,63,45,94,51,68
1595730173,1595730173,167686007,0,0,1,205,206,63,45,94,51,68
1596674378,1596674378,167686007,0,0,1,205,206,63,45,94,51,68
1597654028,1597654028,167686007,0,0,1,205,206,63,45,94,51,68
1598727049,1598727049,167686007,0,0,1,205,206,63,45,94,51,68
1599634013,1599634013,167686007,0,0,1,205,206,63,45,94,51,68
1600650802,1600650802,167686007,0,0,1,205,206,63,45,94,51,68
1601724549,1601724549,167686007,0,0,1,205,206,63,45,94,51,68
1602680120,1602680120,167686007,0,0,1,205,206,63,45,94,51,68
