timestamp,flag_armed,flag_external_manual_override_ok,flag_system_hil_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
2825152555,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2825388314,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2825633300,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2825873128,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2826114915,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2826354387,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2826602784,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2826842543,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2827091688,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2827335531,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2827584347,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2827841084,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2828089165,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2828329608,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2828569920,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2828810694,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2829050693,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2829292490,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2829531764,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2829768407,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2830009295,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2830248726,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2830489721,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2830729773,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2830971287,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2831210799,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2831448067,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2831688051,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2831927975,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2832168471,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2832408730,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2832650071,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2832889678,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2833130831,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2833370326,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2833607597,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2833848325,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2834085343,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2834324741,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2834566799,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2834806788,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2835049703,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2835287105,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2835539504,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2835784577,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2836027219,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2836268301,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2836505172,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2836749998,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2836990194,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2837233897,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2837478877,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2837723244,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2837968122,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2838207584,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2838452775,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2838693885,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2838934001,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2839174836,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2839422801,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2839663201,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2839911159,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2840160407,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2840413635,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2840652686,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2840897895,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2841145930,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
